date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:08	4915/4915	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jan%202023%2014:23:11%20GMT	https://withyou.feeldream.repl.co/Index.html	C:/My%20Web%20Sites/script%20bucin/withyou.feeldream.repl.co/Index.html	(from )
21:23:09	17422/17422	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Jan%202023%2014:23:12%20GMT	https://withyou.feeldream.repl.co/robots.txt		(from )
21:23:10	7024/7024	---M-Z	200	added ('OK')	text/css	etag:W/%22630b3eb7-1b70%22	https://feeldreams.github.io/withyou/style.css	C:/My%20Web%20Sites/script%20bucin/feeldreams.github.io/withyou/style.css	(from https://withyou.feeldream.repl.co/Index.html)
21:23:10	64046/64046	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fa2e-HV0g5f4dJ6DqsUeCErN00mwkKtc%22	https://cdn.jsdelivr.net/npm/sweetalert2@11.0.19/dist/sweetalert2.all.min.js	C:/My%20Web%20Sites/script%20bucin/cdn.jsdelivr.net/npm/sweetalert2@11.0.19/dist/sweetalert2.all.min.js	(from https://withyou.feeldream.repl.co/Index.html)
21:23:11	9770/9770	---MCZ	200	added ('OK')	application/javascript	etag:%22262a-8Azqrl+5AMcvIsXfz4SlcKscZ7Y%22	https://unpkg.com/typeit@8.7.0/dist/index.umd.js	C:/My%20Web%20Sites/script%20bucin/unpkg.com/typeit@8.7.0/dist/index.umd.js	(from https://withyou.feeldream.repl.co/Index.html)
21:23:12	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Jan%202023%2014:23:14%20GMT	https://kit.fontawesome.com/4f3ce16e3e.js	C:/My%20Web%20Sites/script%20bucin/kit.fontawesome.com/4f3ce16e3e.js	(from https://withyou.feeldream.repl.co/Index.html)
21:23:12	101650/101650	---M--	200	added ('OK')	image/jpeg	etag:%2263bc054d-18d12%22	https://feeldreams.github.io/wp2.jpeg	C:/My%20Web%20Sites/script%20bucin/feeldreams.github.io/wp2.jpg	(from https://withyou.feeldream.repl.co/Index.html)
21:23:13	23143/23143	---M--	200	added ('OK')	image/png	etag:%2263bc054d-5a67%22	https://feeldreams.github.io/kadoin.png	C:/My%20Web%20Sites/script%20bucin/feeldreams.github.io/kadoin.png	(from https://withyou.feeldream.repl.co/Index.html)
21:23:13	173475/173475	---M--	200	added ('OK')	image/gif	etag:%2263bc054d-2a5a3%22	https://feeldreams.github.io/peach6.gif	C:/My%20Web%20Sites/script%20bucin/feeldreams.github.io/peach6.gif	(from https://withyou.feeldream.repl.co/Index.html)
21:23:13	118467/118467	---M--	200	added ('OK')	image/gif	etag:%2263bc054d-1cec3%22	https://feeldreams.github.io/peach11.gif	C:/My%20Web%20Sites/script%20bucin/feeldreams.github.io/peach11.gif	(from https://withyou.feeldream.repl.co/Index.html)
21:23:13	420479/420479	---M--	200	added ('OK')	image/gif	etag:%2263bc054d-66a7f%22	https://feeldreams.github.io/peachhug.gif	C:/My%20Web%20Sites/script%20bucin/feeldreams.github.io/peachhug.gif	(from https://withyou.feeldream.repl.co/Index.html)
21:23:14	6213/6213	---M-Z	200	added ('OK')	application/javascript	etag:W/%22630b3eb7-1845%22	https://feeldreams.github.io/withyou/script.js	C:/My%20Web%20Sites/script%20bucin/feeldreams.github.io/withyou/script.js	(from https://withyou.feeldream.repl.co/Index.html)
